iter	Passed	Remaining
0	3	358
1	6	314
2	9	313
3	12	289
4	15	288
5	18	285
6	21	282
7	24	281
8	27	281
9	30	277
10	33	271
11	36	268
12	39	264
13	42	263
14	46	261
15	49	259
16	52	255
17	55	254
18	59	252
19	62	248
20	64	243
21	67	239
22	70	236
23	73	232
24	76	228
25	79	225
26	82	222
27	85	220
28	88	217
29	91	214
30	94	210
31	97	206
32	100	203
33	103	200
34	106	197
35	109	195
36	112	192
37	115	189
38	119	187
39	122	184
40	126	181
41	129	178
42	132	175
43	135	172
44	137	168
45	140	164
46	142	161
47	146	158
48	149	155
49	151	151
50	154	148
51	157	145
52	160	141
53	162	138
54	164	134
55	167	131
56	172	130
57	175	126
58	178	123
59	180	120
60	183	117
61	187	114
62	190	111
63	193	108
64	195	105
65	198	102
66	201	99
67	204	96
68	208	93
69	210	90
70	214	87
71	217	84
72	220	81
73	223	78
74	226	75
75	228	72
76	231	69
77	233	65
78	236	62
79	239	59
80	242	56
81	245	53
82	248	50
83	251	47
84	254	44
85	257	41
86	260	38
87	262	35
88	265	32
89	268	29
90	270	26
91	273	23
92	276	20
93	279	17
94	282	14
95	285	11
96	288	8
97	291	5
98	293	2
99	296	0
